Champions,Primary,HP,HP+,HP5,HP5+,MP,MP+,MP5,MP5+,AD,AD+,AS,AS+,AR,AR+,MR,MR+,MS,Range,Rol_Artillery,Rol_Assassin,Rol_Battlemage,Rol_Burst,Rol_Catcher,Rol_Diver,Rol_Enchanter,Rol_Juggernaut,Rol_Marksman,Rol_Skirmisher,Rol_Specialist,Rol_Vanguard,Rol_Warden
Aatrox,Juggernaut,580.0,90.0,3.0,1.0,0.0,0.0,0.0,0.0,60.0,5.0,0.651,2.5,38.0,3.25,32.1,1.25,345.0,175.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ahri,Burst,526.0,92.0,5.5,0.6,418.0,25.0,8.0,0.8,53.04,3.0,0.668,2.0,20.88,3.5,30.0,0.5,330.0,550.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Akali,Assassin,575.0,95.0,8.0,0.5,200.0,0.0,50.0,0.0,62.4,3.3,0.625,3.2,23.0,3.5,37.0,1.25,345.0,125.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alistar,Vanguard,600.0,106.0,8.5,0.85,350.0,40.0,8.5,0.8,62.0,3.75,0.625,2.125,44.0,3.5,32.1,1.25,330.0,125.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Amumu,Vanguard,613.12,84.0,9.0,0.85,287.2,40.0,7.382,0.525,53.38,3.8,0.736,2.18,33.0,3.8,32.1,1.25,335.0,125.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anivia,Battlemage,480.0,82.0,5.5,0.55,495.0,25.0,8.0,0.8,51.376,3.2,0.625,1.68,21.22,4.0,30.0,0.5,325.0,600.0,0,0,1,0,0,0,0,0,0,0,0,0,0
Annie,Burst,524.0,88.0,5.5,0.55,418.0,25.0,8.0,0.8,50.41,2.625,0.579,1.36,19.22,4.0,30.0,0.5,335.0,625.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aphelios,Marksman,530.0,88.0,3.25,0.55,348.0,42.0,6.5,0.4,57.0,2.4,0.64,2.1,28.0,3.0,26.0,0.5,325.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ashe,Marksman,570.0,87.0,3.5,0.55,280.0,32.0,6.972,0.4,59.0,2.96,0.658,3.33,26.0,3.4,30.0,0.5,325.0,600.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aurelion Sol,Battlemage,575.0,92.0,7.0,0.6,350.0,50.0,6.0,0.8,57.0,3.2,0.625,1.36,19.0,3.6,30.0,0.5,325.0,550.0,0,0,1,0,0,0,0,0,0,0,0,0,0
Azir,Specialist,552.0,92.0,7.0,0.75,480.0,21.0,8.0,0.8,52.0,2.8,0.625,3.0,19.04,3.0,30.0,0.5,335.0,525.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bard,Catcher,560.0,89.0,5.5,0.55,350.0,50.0,6.0,0.45,52.0,3.0,0.625,2.0,34.0,4.0,30.0,0.5,330.0,500.0,0,0,0,0,1,0,0,0,0,0,0,0,0
Blitzcrank,Catcher,582.6,95.0,8.5,0.75,267.2,40.0,8.5,0.8,61.54,3.5,0.625,1.13,37.0,3.5,32.1,1.25,325.0,125.0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brand,Burst,519.68,88.0,5.5,0.55,469.0,21.0,10.665,0.6,57.04,3.0,0.625,1.36,21.88,3.5,30.0,0.5,340.0,550.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Braum,Warden,540.0,98.0,8.5,1.0,310.6,45.0,6.0,0.8,55.376,3.2,0.644,3.5,47.0,4.0,32.1,1.25,335.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Caitlyn,Marksman,510.0,93.0,3.5,0.55,313.7,35.0,7.4,0.55,62.0,2.88,0.681,3.5,28.0,3.5,30.0,0.5,325.0,650.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Camille,Diver,575.6,85.0,8.5,0.8,338.8,32.0,8.15,0.75,68.0,3.5,0.644,2.5,35.0,3.8,32.1,1.25,340.0,125.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cassiopeia,Battlemage,560.0,90.0,5.5,0.5,350.0,40.0,8.0,0.8,53.0,3.0,0.647,1.5,18.0,3.5,32.0,0.5,328.0,550.0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cho'Gath,Specialist,574.4,80.0,9.0,0.85,272.2,40.0,7.206,0.45,69.0,4.2,0.625,1.44,38.0,3.5,32.1,1.25,345.0,125.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Corki,Marksman,518.0,87.0,5.5,0.55,350.16,34.0,7.424,0.55,55.0,2.5,0.638,2.3,28.0,3.5,30.0,0.5,325.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Darius,Juggernaut,582.24,100.0,10.0,0.95,263.0,37.5,6.6,0.35,64.0,5.0,0.625,1.0,39.0,4.0,32.1,1.25,340.0,175.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Diana,Assassin,570.0,95.0,7.5,0.85,375.0,25.0,8.0,0.8,57.0,3.0,0.625,2.25,31.0,3.6,32.1,1.25,345.0,150.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dr. Mundo,Juggernaut,582.52,89.0,8.0,0.75,0.0,0.0,0.0,0.0,61.27,3.5,0.721,2.8,36.0,3.5,32.1,1.25,345.0,125.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Draven,Marksman,605.0,90.0,3.75,0.7,360.56,39.0,8.042,0.65,60.0,3.61,0.679,2.7,29.0,3.3,30.0,0.5,330.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ekko,Assassin,585.0,85.0,9.0,0.9,280.0,50.0,7.0,0.8,58.0,3.0,0.688,3.3,32.0,3.0,32.0,1.25,340.0,125.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elise,Diver,534.0,93.0,5.5,0.6,324.0,50.0,6.0,0.8,55.0,3.0,0.625,1.75,27.0,3.35,30.0,0.5,330.0,550.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Evelynn,Assassin,572.0,84.0,8.5,0.75,315.6,42.0,8.108,0.6,61.0,3.0,0.667,2.1,37.0,3.5,32.1,1.25,335.0,125.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ezreal,Marksman,530.0,88.0,4.0,0.55,375.0,50.0,8.5,0.65,60.0,2.5,0.625,2.5,22.0,3.5,30.0,0.5,325.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fiddlesticks,Specialist,580.4,92.0,5.5,0.6,500.0,28.0,8.0,0.8,55.36,2.625,0.625,2.11,34.0,3.5,30.0,0.5,335.0,480.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fiora,Skirmisher,550.0,85.0,8.5,0.55,300.0,40.0,8.0,0.7,68.0,3.3,0.69,3.2,33.0,3.5,32.1,1.25,345.0,150.0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fizz,Assassin,570.0,98.0,8.0,0.7,317.2,37.0,6.0,0.8,58.04,3.0,0.658,3.1,22.412,3.4,32.1,1.25,335.0,175.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Galio,Warden,562.0,112.0,8.0,0.8,500.0,40.0,9.5,0.7,59.0,3.5,0.625,1.5,24.0,3.5,32.0,1.25,335.0,150.0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gangplank,Specialist,540.0,82.0,6.0,0.6,282.0,40.0,7.5,0.7,64.0,3.0,0.658,3.2,35.0,3.0,32.1,1.25,345.0,125.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Garen,Juggernaut,620.0,84.0,8.0,0.5,0.0,0.0,0.0,0.0,66.0,4.5,0.625,3.65,36.0,3.0,32.1,0.75,340.0,175.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gnar,Specialist,510.0,65.0,4.5,1.75,100.0,0.0,0.0,0.0,59.0,3.0,0.625,6.0,32.0,2.5,30.0,0.5,335.0,400.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gragas,Vanguard,600.0,95.0,5.5,0.5,400.0,47.0,6.0,0.8,64.0,3.5,0.675,2.05,38.0,3.6,32.1,1.25,330.0,125.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Graves,Specialist,555.0,92.0,8.0,0.7,325.0,40.0,8.0,0.7,68.0,3.0,0.475,2.6,33.0,3.4,32.0,1.25,340.0,425.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hecarim,Diver,580.0,90.0,7.0,0.75,277.2,40.0,6.5,0.6,66.0,3.2,0.67,2.5,36.0,4.0,32.1,1.25,345.0,175.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Heimerdinger,Specialist,488.0,87.0,7.0,0.55,385.0,20.0,8.0,0.8,55.536,2.7,0.625,1.36,19.04,3.0,30.0,0.5,340.0,550.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Illaoi,Juggernaut,585.6,95.0,9.5,0.8,300.0,40.0,7.5,0.75,68.0,5.0,0.571,2.5,35.0,3.8,32.1,1.25,340.0,125.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Irelia,Diver,580.0,95.0,8.5,0.85,350.0,30.0,8.0,0.8,63.0,4.0,0.656,2.5,36.0,3.0,32.0,1.25,335.0,200.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ivern,Catcher,585.0,95.0,7.0,0.85,450.0,60.0,6.0,0.75,50.0,3.0,0.644,3.4,27.0,3.5,32.1,1.25,330.0,475.0,0,0,0,0,1,0,0,0,0,0,0,0,0
Janna,Enchanter,500.0,70.0,5.5,0.55,350.0,64.0,11.5,0.4,46.0,1.5,0.625,2.95,28.0,3.8,30.0,0.5,315.0,550.0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jarvan IV,Diver,570.0,90.0,8.0,0.7,300.0,40.0,6.5,0.45,64.0,3.4,0.658,2.5,34.0,3.6,32.1,1.25,340.0,175.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jax,Skirmisher,592.8,85.0,8.5,0.55,338.8,32.0,7.576,0.7,68.0,3.375,0.638,3.4,36.0,3.0,32.1,1.25,350.0,125.0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jayce,Artillery,560.0,90.0,6.0,0.6,375.0,45.0,6.0,0.8,54.0,4.25,0.658,3.0,27.0,3.5,30.0,0.5,335.0,125.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jhin,Marksman,585.0,93.0,3.75,0.55,300.0,50.0,6.0,0.8,59.0,4.7,0.625,3.0,24.0,3.5,30.0,0.5,330.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jinx,Marksman,610.0,86.0,3.75,0.5,245.0,45.0,6.7,1.0,57.0,3.4,0.625,1.0,28.0,3.5,30.0,0.5,325.0,525.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kai'Sa,Marksman,600.0,88.0,3.5,0.55,344.88,38.0,8.2,0.45,59.0,2.0,0.644,1.8,28.0,3.0,30.0,0.5,335.0,525.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kalista,Marksman,534.0,100.0,3.75,0.55,250.0,45.0,6.3,0.4,69.0,3.5,0.694,4.0,21.0,4.0,30.0,0.5,325.0,525.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Karma,Burst,534.0,95.0,5.5,0.55,374.0,50.0,11.5,0.5,53.544,3.3,0.625,2.3,26.0,3.8,30.0,0.5,335.0,525.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Karthus,Battlemage,550.0,87.0,6.5,0.55,467.0,30.5,8.0,0.8,45.66,3.25,0.625,2.11,18.0,3.5,30.0,0.5,335.0,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kassadin,Assassin,576.0,90.0,6.0,0.5,397.6,67.0,6.0,0.8,58.852,3.9,0.64,3.7,19.0,2.8,30.0,0.5,335.0,150.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Katarina,Assassin,602.0,94.0,7.5,0.7,0.0,0.0,0.0,0.0,58.0,3.2,0.658,2.74,27.88,3.5,32.1,1.25,340.0,125.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kayle,Specialist,600.0,85.0,5.0,0.5,330.0,50.0,8.0,0.8,50.0,2.5,0.625,1.5,26.0,3.0,34.0,0.5,335.0,175.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kayn,Skirmisher,585.0,85.0,8.0,0.75,410.0,50.0,11.5,0.95,68.0,3.3,0.669,2.7,38.0,3.3,32.1,1.25,340.0,175.0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kennen,Specialist,541.0,84.0,5.5,0.65,200.0,0.0,50.0,0.0,48.0,3.75,0.625,3.4,29.0,3.75,30.0,0.5,335.0,550.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kha'Zix,Assassin,572.8,85.0,7.5,0.75,327.2,40.0,7.59,0.5,63.0,3.1,0.668,2.7,36.0,3.0,32.1,1.25,350.0,125.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kindred,Marksman,540.0,85.0,7.0,0.55,300.0,35.0,7.0,0.4,65.0,2.5,0.625,3.5,29.0,3.5,30.0,0.5,325.0,500.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kled,Diver,340.0,70.0,6.0,0.75,100.0,0.0,0.0,0.0,65.0,3.5,0.625,3.5,35.0,4.0,28.0,1.25,285.0,250.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kog'Maw,Marksman,565.0,85.0,3.75,0.55,325.0,40.0,8.75,0.7,61.0,3.11,0.665,2.65,24.0,3.25,30.0,0.5,330.0,500.0,0,0,0,0,0,0,0,0,1,0,0,0,0
LeBlanc,Burst,528.0,92.0,7.5,0.55,334.0,50.0,6.0,0.8,54.88,3.5,0.625,1.4,21.88,3.5,30.0,0.5,340.0,525.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lee Sin,Diver,575.0,85.0,7.5,0.7,200.0,0.0,50.0,0.0,70.0,3.7,0.651,3.0,33.0,3.7,32.1,1.25,345.0,125.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leona,Vanguard,576.16,87.0,8.5,0.85,302.2,40.0,6.0,0.8,60.04,3.0,0.625,2.9,47.0,3.6,32.1,1.25,335.0,125.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lillia,Skirmisher,580.0,90.0,9.0,0.75,410.0,50.0,11.5,0.95,61.0,3.1,0.625,2.7,20.0,4.0,32.1,0.5,330.0,325.0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lissandra,Burst,550.0,90.0,7.0,0.55,475.0,30.0,8.0,0.4,53.0,2.7,0.656,1.36,22.0,3.7,30.0,0.5,325.0,550.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lucian,Marksman,571.0,86.0,3.75,0.65,348.88,38.0,8.176,0.7,64.0,2.3,0.638,3.3,28.0,3.0,30.0,0.5,335.0,500.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lulu,Enchanter,525.0,74.0,6.0,0.6,350.0,55.0,11.0,0.6,47.0,2.6,0.625,2.25,29.0,3.7,30.0,0.5,330.0,550.0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lux,Burst,490.0,85.0,5.5,0.55,480.0,23.5,8.0,0.8,53.54,3.3,0.669,1.0,18.72,4.0,30.0,0.5,330.0,550.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Malphite,Vanguard,574.2,90.0,7.0,0.55,282.2,40.0,7.324,0.55,61.97,4.0,0.736,3.4,37.0,3.75,32.1,1.25,335.0,125.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Malzahar,Battlemage,537.0,87.0,6.0,0.6,375.0,27.5,8.0,0.8,55.0,3.0,0.625,1.5,18.0,3.5,30.0,0.5,335.0,500.0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maokai,Vanguard,565.0,95.0,5.0,0.75,375.0,43.0,7.2,0.6,63.54,3.3,0.8,2.125,39.0,4.0,32.1,1.25,335.0,125.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Master Yi,Skirmisher,598.56,92.0,7.5,0.65,250.56,42.0,7.256,0.45,66.0,3.0,0.679,2.0,33.0,3.0,32.1,1.25,355.0,125.0,0,0,0,0,0,0,0,0,0,1,0,0,0
Miss Fortune,Marksman,570.0,93.0,3.75,0.65,325.84,35.0,8.042,0.65,52.0,2.7,0.656,3.0,28.0,3.0,30.0,0.5,325.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
